"","area_resultado","programa","acao","sub_acao","quantificacao_meta","quantificacao_executada","relacao_fisica","relacao_fisica_agrupamento","valor_orcado","valor_empenhado","relacao_financeira","relacao_financeira_agrupamento","eficacia","programa_tipo","nome_uo","funcao","subfuncao","nome_programa","nome_acao","nome_sub_acao","nome_produto"
"337",2,207,2886,10,0,0,-1,"N�o h� meta",7000,0,0,"N�o h� execu��o",0,"Sustentador","SECRETARIA MUNICIPAL DE EDUCAÇÃO","Educação","Ensino Fundamental","Melhoria da Qualidade da Educação","Gestão da Melhoria da Qualidade da Educação","Cidades Educadoras","Serviços Administrativos"
"338",9,69,2514,3,4,4,1,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Associado","SECRETARIA MUNICIPAL DE MEIO AMBIENTE","Gestão Ambiental","Controle Ambiental","Gestão da Política Ambiental","Monitoramento e Controle Ambiental","Monitoramento da Qualidade da Água das Bacias do Arrudas e do Onça","Relatório realizado"
"339",6,7,2124,1,0,0,-1,"N�o h� meta",2075800,3020472,1.45508815878216,"1.3 a 2.0",0,"Apoio Administrativo","ENCARGOS GERAIS DO MUNICÍPIO DA SECRETARIA MUNICIPAL DE FINANÇAS","Administração","Administração Geral","Apoio Administrativo e Financeiro"," Gestão Administrativa e Patrimonial","Encargos com Gestão Administrativa e Patrimonial","Serviços Administrativos"
"340",6,14,2850,1,0,0,-1,"N�o h� meta",13300000,12258517,0.921693007518797,"0.7 a 1.3",0,"Associado","ENCARGOS GERAIS DO MUNICÍPIO DA SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E INFORMAÇÃO","Administração","Administração Geral","Gestão dos Recursos Humanos","Encargos com Pessoal Ativo e Inativo do Município","Encargos com Pessoal Ativo e Inativo do Município","Serviços Administrativos"
"341",6,14,2809,13,1,1,1,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS","Administração","Administração Geral","Gestão dos Recursos Humanos","Gerenciamento do Sistema de Recursos Humanos","Recrutamento e Seleção de Recursos Humanos para o SUAS - Sistema Único de Assistência Social","Equipe implantada"
"342",4,109,2803,2,82,146,1.78048780487805,"1.3 a 2.0",0,0,-1,"N�o h� meta",-1,"Associado","SECRETARIA MUNICIPAL DE SEGURANÇA URBANA E PATRIMONIAL","Segurança Pública","Policiamento","Gestão da Segurança Pública e Patrimonial","Operacionalização da Guarda Municipal de Belo Horizonte","Controle, Fiscalização e Orientação do Trânsito ( META NÃO CUMULATIVA )","Via atendida"
"343",11,239,2371,19,1,1,1,"0.7 a 1.3",1500000,1100000,0.733333333333333,"0.7 a 1.3",1.36363637447357,"Sustentador","FUNDAÇÃO MUNICIPAL DE CULTURA","Cultura","Difusão Cultural","Rede BH Cultural","Fomento e Estímulo à Cultura","Realização do  Festival de Arte Negra - FAN","Evento realizado"
"344",2,140,2850,1,0,0,-1,"N�o h� meta",20450000,17553405,0.858357212713936,"0.7 a 1.3",0,"Associado","ENCARGOS GERAIS DO MUNICÍPIO DA SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E INFORMAÇÃO","Educação","Ensino Fundamental","Gestão e Operacionalização da Política Educacional","Encargos com Pessoal Ativo e Inativo do Município","Encargos com Pessoal Ativo e Inativo do Município","Serviços Administrativos"
"345",2,140,2046,5,178,178,1,"0.7 a 1.3",10215170,6288335,0.615587895257739,"0.4 a 0.7",1.62446343898773,"Associado","SECRETARIA MUNICIPAL DE EDUCAÇÃO","Educação","Ensino Fundamental","Gestão e Operacionalização da Política Educacional","Gestão Descentralizada da Educação","PAP - Projeto de Ação Pedagógica - Ensino Fudamental ( META NÃO CUMULATIVA )","Escola contemplada"
"346",10,132,2121,11,0,0,-1,"N�o h� meta",1568200,873130,0.556772095395995,"0.4 a 0.7",0,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE SEGURANÇA ALIMENTAR E NUTRICIONAL","Agricultura","Promoção da Produção Vegetal","Gestão da Política Municipal de Segurança Alimentar e Nutricional","Fomento e Gerenciamento da Comercialização Direta da Agricultura Urbana e Familiar","Operacionalização da Comercialização Direta da Agricultura Urbana e Familiar","Serviços Administrativos"
"347",10,238,2869,4,6500,6881,1.05861538461538,"0.7 a 1.3",32500,0,0,"N�o h� execu��o",-1,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE LAZER","Desporto e Lazer","Lazer","Promoção do Esporte e do Lazer","Programas e Atividades de Lazer","Caminhar na Escola","aluno atendido"
"348",10,20,2403,5,134,134,1,"0.7 a 1.3",1820052,960285,0.527614046192087,"0.4 a 0.7",1.89532482624054,"Associado","FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL","Assistência Social","Assistência Comunitária","Proteção Social Especial","Serviço de Proteção Social Especial de Alta Complexidade","Acolhimento Institucional para Famílias ( META NÃO CUMULATIVA )","Vaga disponibilizada"
"349",3,60,2837,1,2500000,2500000,1,"0.7 a 1.3",105836433,81810895,0.772993691123358,"0.7 a 1.3",1.29367160797119,"Associado","FUNDO MUNICIPAL DE TRANSPORTES URBANOS","Transporte","Serviços Urbanos","Gestão da Mobilidade Urbana","Gerenciamento da Mobilidade Urbana Municipal","Gerenciamento do Trânsito Municipal e Transporte Urbano ( META NÃO CUMULATIVA )","População atendida"
"350",8,227,2334,25,1,1,1,"0.7 a 1.3",150000,0,0,"N�o h� execu��o",-1,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE GESTÃO COMPARTILHADA","Administração","Administração Geral","Orçamento Participativo e Gestão Compartilhada","Gestão Compartilhada e Participação Social","Implantar o Programa Fiscal da Cidade","Programa implantado"
"351",6,85,2603,4,0,0,-1,"N�o h� meta",28485538,27466612,0.964230059477901,"0.7 a 1.3",0,"Associado","EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE","Ciência e Tecnologia","Desenvolvimento Tecnológico e Engenharia","Gestão da Política de Tecnologia da Informação e Comunicação","Implantação de Soluções e Modernização de Sistemas","Estruturação de Ambientes para Desenvolvimento de Software","Serviços Administrativos"
"352",2,140,2041,7,1,1,1,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Associado","SECRETARIA MUNICIPAL DE EDUCAÇÃO","Educação","Ensino Fundamental","Gestão e Operacionalização da Política Educacional","Formação para Profissionais da Educação","Elaboração  e Implantação do Plano de Formação Continuada dos Profissionais da RME ( META NÃO CUMULATIVA )","Plano Elaborado"
"353",10,127,2900,1,0,0,-1,"N�o h� meta",80000,0,0,"N�o h� execu��o",0,"Associado","FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR","Administração","Planejamento e Orçamento","Promoção e Defesa de Direitos Humanos e Cidadania","Serviços Administrativos e Financeiros","Serviços Administrativos e Financeiros","Serviços Administrativos"
"354",5,218,2629,14,10,10,1,"0.7 a 1.3",1200000,1662629,1.38552416666667,"1.3 a 2.0",0.721748530864716,"Sustentador","EMPRESA MUNICIPAL DE TURISMO DE BELO HORIZONTE S/A","Comércio e Serviços","Turismo","Turismo em BH","Promoção e Desenvolvimento do Turismo de Negócios e Apoio à Eventos Culturais e Econômicos","Carnaval de Belo Horizonte","Evento realizado"
"355",6,89,3137,1,0,0,-1,"N�o h� meta",81901301,52490880,0.64090410480781,"0.4 a 0.7",0,"Associado","ENCARGOS GERAIS DO MUNICÍPIO DA SECRETARIA MUNICIPAL DE FINANÇAS","Encargos Especiais","Outros Encargos Especiais","Sentenças Judiciais","Encargos com Precatórios Judiciais","Encargos com Precatórios Judiciais","Serviços Administrativos"
"356",6,7,2124,3,0,0,-1,"N�o h� meta",797300,1059020,1.3282578703123,"1.3 a 2.0",0,"Apoio Administrativo","ENCARGOS GERAIS DO MUNICÍPIO DA SECRETARIA MUNICIPAL DE FINANÇAS","Administração","Administração Geral","Apoio Administrativo e Financeiro"," Gestão Administrativa e Patrimonial","Gestão da Frota de Veículos","Serviços Administrativos"
"357",9,233,2811,1,9,9,1,"0.7 a 1.3",8065900,5389943,0.668238262314187,"0.4 a 0.7",1.49647212028503,"Sustentador","SUPERINTENDÊNCIA DE DESENVOLVIMENTO DA CAPITAL","Gestão Ambiental","Preservação e Conservação Ambiental","Manutenção da Cidade","Serviços de Manutenção de Praças, Jardins e Arborização da Cidade","Preservação da Arborização Municipal ( META NÃO CUMULATIVA )","Procedimento realizado"
"358",5,217,2853,4,1,1,1,"0.7 a 1.3",20000,0,0,"N�o h� execu��o",-1,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE DESENVOLVIMENTO ECONÔMICO","Administração","Administração Geral","Promoção e Atração de Investimentos","Fomento ao Desenvolvimento Econômico","Plano de Promoção e Atração de Investimento","Plano executado"
"359",10,113,2350,4,0,0,-1,"N�o h� meta",21000,0,0,"N�o h� execu��o",0,"Associado","FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL","Assistência Social","Assistência Comunitária","Gestão da Política de Assistência Social","Vigilância Socioassistencial","Monitoramento e Acompanhamento","Serviços Administrativos"
"360",6,12,2523,4,80,86,1.075,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Associado","AUDITORIA-GERAL DO MUNICÍPIO","Administração","Controle Interno","Gestão do Sistema de Controle Interno","Serviço de Auditoria","Auditoria de Controle e Função Pública","Relatório expedido"
"361",6,12,2548,14,48,48,1,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Associado","CORREGEDORIA-GERAL DO MUNICÍPIO","Administração","Controle Interno","Gestão do Sistema de Controle Interno","Serviços de Controles Disciplinares","Instrução e Julgamento de Procedimentos Disciplinares","Relatório emitido"
"362",10,20,2403,2,200,200,1,"0.7 a 1.3",961917,979441,1.01821778802121,"0.7 a 1.3",0.982108175754547,"Associado","FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL","Assistência Social","Assistência Comunitária","Proteção Social Especial","Serviço de Proteção Social Especial de Alta Complexidade","Acolhimento Institucional e Unidade de Passagem para Adultos e Famílias ( META NÃO CUMULATIVA )","Vaga disponibilizada"
"363",9,46,2539,5,0,0,-1,"N�o h� meta",9715021,6917639,0.712056000702417,"0.7 a 1.3",0,"Associado","SUPERINTENDÊNCIA DE LIMPEZA URBANA","Saneamento","Saneamento Básico Urbano","Operacionalização e Modernização da Limpeza Pública","Execução dos Serviços de Limpeza Urbana","Gerenciamento da Central de Tratamento de Resíduos Sólidos","Serviços Administrativos"
"364",6,144,2876,6,1,1,1,"0.7 a 1.3",80000,0,0,"N�o h� execu��o",-1,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE PLANEJAMENTO E GESTÃO","Administração","Planejamento e Orçamento","Apoio ao Planejamento e Gestão","Apoio ao Planejamento e Gestão","Implantação do Projeto Monitora BH","Plataforma virtual implementada"
"365",11,239,2375,9,1,1,1,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Sustentador","FUNDAÇÃO MUNICIPAL DE CULTURA","Cultura","Patrimônio Histórico, Artístico e Arqueológico","Rede BH Cultural","Identificação e Valorização do Patrimônio e das Identidades Culturais"," Galeria de Arte no Espaço Térreo da Sede da PBH","Ação realizada"
"366",9,57,2584,1,0,0,-1,"N�o h� meta",52345440,57391952,1.09640786284345,"0.7 a 1.3",0,"Associado","SUPERINTENDÊNCIA DE DESENVOLVIMENTO DA CAPITAL","Administração","Administração Geral","Gestão da Política Urbana","Apoio Operacional de Investimentos Municipais","Apoio aos Serviços Administrativos","Serviços Administrativos"
"367",10,236,2333,4,4,33,8.25,"Acima de 2.0",6000,41819,6.96983333333333,"Acima de 2.0",1.1836724281311,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE DIREITOS DE CIDADANIA","Direitos da Cidadania","Direitos Individuais, Coletivos e Difusos","Direito de Todos","Promoção de Ações Afirmativas dos Movimentos Sociais","Ações Afirmativas em Prol da Pessoa com Deficiência","Ação realizada"
"368",6,7,2900,1,0,0,-1,"N�o h� meta",5490120,5566260,1.01386854932133,"0.7 a 1.3",0,"Apoio Administrativo","SECRETARIA DE ADMINISTRAÇÃO  REGIONAL  MUNICIPAL  LESTE","Administração","Administração Geral","Apoio Administrativo e Financeiro","Serviços Administrativos e Financeiros","Serviços Administrativos e Financeiros","Serviços Administrativos"
"369",11,146,2338,6,1,1,1,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Associado","FUNDAÇÃO MUNICIPAL DE CULTURA","Cultura","Administração Geral","Gestão da Política Cultural","Gestão, Planejamento e Administração Cultural","Implantação do Plano Municipal de Cultura","Plano implantado"
"370",4,242,2881,2,2,2,1,"0.7 a 1.3",100,0,0,"N�o h� execu��o",-1,"Sustentador","SECRETARIA MUNICIPAL DE SEGURANÇA URBANA E PATRIMONIAL","Segurança Pública","Policiamento","Prevenção da Violência","Ações de Prevenção à Violência","Ações Educativas de Prevenção ao Envolvimento com Gangues","Campanha desenvolvida"
"371",10,101,2757,1,0,0,-1,"N�o h� meta",4949700,4539031,0.917031537264885,"0.7 a 1.3",0,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE ESPORTES","Desporto e Lazer","Desporto Comunitário","Promoção e Democratização das Práticas de Esportes e Lazer","Programas e Atividades  Esportivas","Programas Esportivos Sociais e Atividades de Lazer Comunitárias","Serviços Administrativos"
"372",3,60,2567,2,0,0,-1,"N�o h� meta",120004000,111053425,0.92541436118796,"0.7 a 1.3",0,"Associado","EMPRESA DE TRANSPORTES E TRÂNSITO DE BELO HORIZONTE","Transporte","Serviços Urbanos","Gestão da Mobilidade Urbana","Gestão da Política de Transporte Urbano e Trânsito","Operação, Manutenção e Administração","Serviços Administrativos"
"373",6,7,2900,1,0,0,-1,"N�o h� meta",3852038,4524640,1.17460938858859,"0.7 a 1.3",0,"Apoio Administrativo","SECRETARIA DE ADMINISTRAÇÃO REGIONAL MUNICIPAL OESTE","Administração","Administração Geral","Apoio Administrativo e Financeiro","Serviços Administrativos e Financeiros","Serviços Administrativos e Financeiros","Serviços Administrativos"
"374",5,217,2853,8,45,213,4.73333333333333,"Acima de 2.0",20000,171600,8.58,"Acima de 2.0",0.551670551300049,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE DESENVOLVIMENTO ECONÔMICO","Administração","Administração Geral","Promoção e Atração de Investimentos","Fomento ao Desenvolvimento Econômico","BH Negócios - Apoio ao Empreendedorismo e Fortalecimento de Empresas","Empresa atendida"
"375",6,220,2889,2,1,1,1,"0.7 a 1.3",60000,0,0,"N�o h� execu��o",-1,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS","Administração","Administração Geral","Gestão Estratégica de Pessoas","Implementação de Ações e Atividades de Suporte ao Projeto Gestão Estratégica de Pessoas","Implantação de três Canais de Atendimento ao Servidor - Presencial, Telefônico e Web","Canal de atendimento implantado"
"376",9,73,2817,4,25,324,12.96,"Acima de 2.0",25440,0,0,"N�o h� execu��o",-1,"Associado","FUNDAÇÃO ZOO-BOTÂNICA DE BELO HORIZONTE","Gestão Ambiental","Preservação e Conservação Ambiental","Preservação e Conservação da Fauna e Flora","Educação Ambiental e Promoção de Eventos","Capacitação em Educação Ambiental para o Público Interno e Externo","Evento realizado"
"377",5,237,2647,1,3200,4359,1.3621875,"1.3 a 2.0",0,0,-1,"N�o h� meta",-1,"Sustentador","FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL","Assistência Social","Assistência à Criança e ao Adolescente","Qualificação, Profissionalização e Emprego","Inserção Social e Produtiva","Programa de Intermediação de Mão de Obra para Pessoa com Deficiência - PROMETI","Vagas abertas"
"378",11,154,2371,2,540,1305,2.41666666666667,"Acima de 2.0",634000,82360,0.129905362776025,"0.01 a 0.4",18.6032867431641,"Associado","FUNDAÇÃO MUNICIPAL DE CULTURA","Cultura","Difusão Cultural","Fomento, Incentivo e Desenvolvimento Cultural","Fomento e Estímulo à Cultura","Iniciativas de Formação e Qualificação na Área Cultural","Ação realizada"
"379",11,239,1339,9,1,1,1,"0.7 a 1.3",221510,0,0,"N�o h� execu��o",-1,"Sustentador","FUNDAÇÃO MUNICIPAL DE CULTURA","Cultura","Difusão Cultural","Rede BH Cultural","Requalificação dos Espaços e Serviços da Cultura","Reimplantação do Centro Cultural Liberalino Alves de Oliveira  em conjunto com a Biblioteca São Cristóvão","Equipamento público requalificado"
"380",10,127,2335,1,40,54,1.35,"1.3 a 2.0",196000,176738,0.901724489795918,"0.7 a 1.3",1.49713134765625,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE DIREITOS DE CIDADANIA","Direitos da Cidadania","Direitos Individuais, Coletivos e Difusos","Promoção e Defesa de Direitos Humanos e Cidadania","Educação Política em Direitos Humanos e Cidadania","Sensibilização de Agentes Públicos e Sociedade Civil","Atividade realizada"
"381",6,144,2876,4,0,0,-1,"N�o h� meta",10000,0,0,"N�o h� execu��o",0,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE PLANEJAMENTO E GESTÃO","Administração","Planejamento e Orçamento","Apoio ao Planejamento e Gestão","Apoio ao Planejamento e Gestão","Produção e Sistematização de Indicadores Sociais","Serviços Administrativos"
"382",11,239,2371,7,1,1,1,"0.7 a 1.3",200000,86000,0.43,"0.4 a 0.7",2.32558131217957,"Sustentador","FUNDAÇÃO MUNICIPAL DE CULTURA","Cultura","Difusão Cultural","Rede BH Cultural","Fomento e Estímulo à Cultura","Realização do Concurso  de Literatura  ""Cidade de Belo Horizonte ""","Ação realizada"
"383",10,238,2866,5,4,4,1,"0.7 a 1.3",569000,0,0,"N�o h� execu��o",-1,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE ESPORTES","Desporto e Lazer","Desporto de Rendimento","Promoção do Esporte e do Lazer","Esporte de Rendimento","BH Descobrindo Talentos no Esporte","Núcleo em funcionamento"
"384",10,20,2409,1,700,1375,1.96428571428571,"1.3 a 2.0",1474259,1310447,0.888885195884848,"0.7 a 1.3",2.20983052253723,"Associado","FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL","Assistência Social","Assistência Comunitária","Proteção Social Especial","Centros de Referência","Centro de Referência Especializado para População de Rua Adulta ( META NÃO CUMULATIVA )","Pessoa atendida"
"385",6,12,2548,2,12,12,1,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Associado","CORREGEDORIA-GERAL DO MUNICÍPIO","Administração","Controle Interno","Gestão do Sistema de Controle Interno","Serviços de Controles Disciplinares","Corregedoria Itinerante - Realização de Palestras","Encontro realizado"
"386",6,7,2900,7,0,0,-1,"N�o h� meta",2703050,1582398,0.58541203455356,"0.4 a 0.7",0,"Apoio Administrativo","SECRETARIA DE ADMINISTRAÇÃO  REGIONAL MUNICIPAL  NORTE","Administração","Administração Geral","Apoio Administrativo e Financeiro","Serviços Administrativos e Financeiros","Manutenção de Bens Próprios e de Infraestrutura","Serviços Administrativos"
"387",10,20,2410,1,700,1967,2.81,"Acima de 2.0",1024854,1022853,0.998047526769667,"0.7 a 1.3",2.81549715995789,"Associado","FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL","Assistência Social","Assistência Comunitária","Proteção Social Especial","Apoio e Assessoria aos Serviços de Proteção Social de Média Complexidade","Apoio Jurídico/CREAS ( META NÃO CUMULATIVA )","Pessoa atendida"
"388",2,206,2702,5,1608200,3140349,1.95271048377068,"1.3 a 2.0",7238361,3264918,0.451057635837726,"0.4 a 0.7",4.32918167114258,"Sustentador","SECRETARIA MUNICIPAL DE EDUCAÇÃO","Educação","Ensino Fundamental","Expansão da Escola Integrada","Gestão do Programa Escola Integrada","Programa Escola Aberta - Ampliação do Atendimento","Participações"
"389",11,239,1339,4,1,1,1,"0.7 a 1.3",60000,57958,0.965966666666667,"0.7 a 1.3",1.03523242473602,"Sustentador","FUNDAÇÃO MUNICIPAL DE CULTURA","Cultura","Difusão Cultural","Rede BH Cultural","Requalificação dos Espaços e Serviços da Cultura","Implantação do Centro Cultural Bairro das Indústrias","Equipamento público implantado"
"390",6,7,2900,1,0,0,-1,"N�o h� meta",3423750,3095721,0.904190142387733,"0.7 a 1.3",0,"Apoio Administrativo","SECRETARIA DE ADMINISTRAÇÃO  REGIONAL MUNICIPAL  NORTE","Administração","Administração Geral","Apoio Administrativo e Financeiro","Serviços Administrativos e Financeiros","Serviços Administrativos e Financeiros","Serviços Administrativos"
"391",6,90,3027,1,0,0,-1,"N�o h� meta",2000000,337233,0.1686165,"0.01 a 0.4",0,"Associado","ENCARGOS GERAIS DO MUNICÍPIO DA SECRETARIA MUNICIPAL DE FINANÇAS","Encargos Especiais","Outros Encargos Especiais","Aporte de Recursos a Entidades Societárias","Participações Societárias","Participações Societárias","Serviços Administrativos"
"392",6,4,2518,1,0,0,-1,"N�o h� meta",2286880,2267134,0.991365528580424,"0.7 a 1.3",0,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE ORÇAMENTO","Administração","Planejamento e Orçamento","Planejamento Orçamentário","Gestão do Processo Orçamentário","Gestão do Processo Orçamentário","Serviços Administrativos"
"393",9,59,2900,1,0,0,-1,"N�o h� meta",8798578,9232756,1.0493463830178,"0.7 a 1.3",0,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE REGULAÇÃO URBANA","Urbanismo","Serviços Urbanos","Gerenciamento do Controle Urbano","Serviços Administrativos e Financeiros","Serviços Administrativos e Financeiros","Serviços Administrativos"
"394",2,207,2886,4,1,1,1,"0.7 a 1.3",190000,0,0,"N�o h� execu��o",-1,"Sustentador","SECRETARIA MUNICIPAL DE EDUCAÇÃO","Educação","Ensino Fundamental","Melhoria da Qualidade da Educação","Gestão da Melhoria da Qualidade da Educação","Implantação do Observatório do Clima Escolar","Observatório implantado"
"395",2,140,2700,10,131251,131251,1,"0.7 a 1.3",40133829,11554226,0.287892441062626,"0.01 a 0.4",3.47351956367493,"Associado","SECRETARIA MUNICIPAL DE EDUCAÇÃO","Educação","Ensino Fundamental","Gestão e Operacionalização da Política Educacional","Operação e Manutenção da Educação","Operação e Manutenção da Educação -  Ensino Fundamental ( META NÃO CUMULATIVA )","Aluno beneficiado"
"396",10,113,2348,3,40,89,2.225,"Acima de 2.0",130000,0,0,"N�o h� execu��o",-1,"Associado","FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL","Assistência Social","Assistência Comunitária","Gestão da Política de Assistência Social","Gestão, Comunicação e Mobilização Social","Produção de Eventos","Evento produzido"
"397",9,232,2855,7,0,0,-1,"N�o h� meta",20000,0,0,"N�o h� execu��o",0,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE FISCALIZAÇÃO","Urbanismo","Serviços Urbanos","Movimento Respeito por BH","Coordenação da Fiscalização Municipal","Modernização do Controle da Poluição Veicular","Serviços Administrativos"
"398",1,202,2895,2,67000,78592,1.17301492537313,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Sustentador","FUNDO MUNICIPAL DE SAÚDE","Saúde","Assistência Hospitalar e Ambulatorial","Saúde da Família","Suporte Logístico","Transporte em Saúde","Pessoa beneficiada"
"399",1,28,2829,5,0,0,-1,"N�o h� meta",0,3680,-1,"N�o h� meta",0,"Associado","FUNDO MUNICIPAL DE SAÚDE","Saúde","Vigilância Sanitária","Vigilância em Saúde","Vigilância em Saúde","Gestão de Recursos Humanos","Serviços Administrativos"
"400",5,5,2758,6,10,10,1,"0.7 a 1.3",15000,0,0,"N�o h� execu��o",-1,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE RELAÇÕES INTERNACIONAIS","Administração","Cooperação Internacional","Relações Internacionais","Ações de Internacionalização da Cidade","Fomento ao Bilinguismo e à Vivência Internacional","Ação realizada"
"401",9,228,2538,1,775621,810636.25,1.04514479365566,"0.7 a 1.3",99659548,85486561,0.857785959454683,"0.7 a 1.3",1.218421459198,"Sustentador","SUPERINTENDÊNCIA DE LIMPEZA URBANA","Saneamento","Saneamento Básico Urbano","Coleta, Destinação e Tratamento de Resíduos Sólidos","Execução dos Serviços de Coleta de Resíduos","Coleta de Resíduos Sólidos","Massa coletada"
"402",6,14,2809,2,0,0,-1,"N�o h� meta",89000,30733,0.345314606741573,"0.01 a 0.4",0,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS","Administração","Administração Geral","Gestão dos Recursos Humanos","Gerenciamento do Sistema de Recursos Humanos","Processamento da Folha de Pagamento de Pessoal","Serviços Administrativos"
"403",8,227,2334,8,0,0,-1,"N�o h� meta",100000,3120,0.0312,"0.01 a 0.4",0,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE GESTÃO COMPARTILHADA","Administração","Administração Geral","Orçamento Participativo e Gestão Compartilhada","Gestão Compartilhada e Participação Social","Apoio à Gestão do Orçamento Participativo","Serviços Administrativos"
"404",6,12,2548,4,12,12,1,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Associado","CORREGEDORIA-GERAL DO MUNICÍPIO","Administração","Controle Interno","Gestão do Sistema de Controle Interno","Serviços de Controles Disciplinares","Gerenciamento da Execução das Diligências Externas","Relatório emitido"
"405",10,20,2403,3,643,689,1.07153965785381,"0.7 a 1.3",18852838,18936819,1.00445455479965,"0.7 a 1.3",1.06678760051727,"Associado","FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL","Assistência Social","Assistência à Criança e ao Adolescente","Proteção Social Especial","Serviço de Proteção Social Especial de Alta Complexidade","Acolhimento Institucional para Criança e Adolescente ( META NÃO CUMULATIVA )","Vaga disponibilizada"
"406",1,30,2176,1,0,0,-1,"N�o h� meta",23415310,13541109,0.578301504443033,"0.4 a 0.7",0,"Associado","HOSPITAL MUNICIPAL ODILON BEHRENS","Saúde","Formação de Recursos Humanos","Atendimento Ambulatorial, Emergencial e Hospitalar","Gestão do Trabalho, Ensino e Pesquisa","Gerenciamento do Sistema de Recursos Humanos","Serviços Administrativos"
"407",10,236,2819,3,10,10,1,"0.7 a 1.3",90000,95807,1.06452222222222,"0.7 a 1.3",0.939388513565063,"Sustentador","SECRETARIA MUNICIPAL DE GOVERNO","Direitos da Cidadania","Direitos Individuais, Coletivos e Difusos","Direito de Todos","Apoio à Promoção das Políticas da Juventude","Conferência Municipal da Juventude","Conferência realizada"
"408",6,9,2365,1,1000000,1178605,1.178605,"0.7 a 1.3",7495880,7639035,1.01909782440487,"0.7 a 1.3",1.15651798248291,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE MODERNIZAÇÃO","Administração","Administração Geral","Gestão da Modernização Administrativa e Ações de Atendimento ao Cidadão","Ações de Atendimento ao Cidadão","Gestão de Call Center Único - Serviço 156","Atendimento realizado"
"409",6,7,2900,1,0,0,-1,"N�o h� meta",12200862,11530907,0.945089535477084,"0.7 a 1.3",0,"Apoio Administrativo","SECRETARIA DE ADMINISTRAÇÃO REGIONAL MUNICIPAL CENTRO-SUL","Administração","Administração Geral","Apoio Administrativo e Financeiro","Serviços Administrativos e Financeiros","Serviços Administrativos e Financeiros","Serviços Administrativos"
"410",5,217,2853,9,1000,1020,1.02,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE DESENVOLVIMENTO ECONÔMICO","Administração","Administração Geral","Promoção e Atração de Investimentos","Fomento ao Desenvolvimento Econômico","BH Negócios - Capacitação de empreendedores","Empreendedor capacitado"
"411",1,203,2894,1,222000,239485,1.07876126126126,"0.7 a 1.3",921400000,903935827,0.981046046233992,"0.7 a 1.3",1.09960305690765,"Sustentador","FUNDO MUNICIPAL DE SAÚDE","Saúde","Assistência Hospitalar e Ambulatorial","Melhoria do Atendimento Hospitalar e Especializado","Rede Hospitalar","Atendimento da População na Rede Hospitalar do SUS-BH","Internação realizada"
